Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,81,81,crowd,1,1.06846,0.011,True,1,False,0.9939575,4
0,82,82,crowd,2,1.117536,0.023,True,1,False,0.9939728,4
0,83,83,crowd,3,1.025417,0.033,True,1,False,0.9940796,4
0,84,84,crowd,4,1.297498,0.043,True,1,False,0.9941711,4
0,85,85,crowd,5,1.410951,0.058,True,1,False,0.9944,4
0,86,86,crowd,6,1.414774,0.067,True,1,True,1.006958,4
0,87,87,crowd,7,1.097998,0.076,True,1,False,0.9959412,4
0,88,88,crowd,8,1.282874,0.088,True,1,False,0.9940033,4
0,89,89,crowd,9,1.314517,0.098,True,1,False,0.9943542,4
0,90,90,focus,1,1.361942,0.011,True,1,False,0.9941864,4
0,91,91,focus,2,1.393585,0.022,True,1,False,0.9944305,4
0,92,92,focus,3,1.202222,0.033,True,1,False,0.9891663,4
0,93,93,focus,4,1.164093,0.044,True,1,False,0.9941711,4
0,94,94,focus,5,1.185349,0.055,True,1,False,0.9942017,4
0,95,95,focus,6,1.065409,0.065,True,1,True,0.5708008,4
0,96,96,focus,7,1.241549,0.078,True,1,False,0.9940491,4
0,97,97,focus,8,1.496197,0.091,True,1,False,0.9942627,4
0,98,98,focus,9,1.233412,0.102,True,1,False,0.9942017,4
0,99,99,actor,1,1.167462,0.011,True,1,False,0.9942322,4
0,100,100,actor,2,1.091125,0.023,True,1,False,0.9944458,4
0,101,101,actor,3,1.319604,0.03,True,1,False,0.9928284,4
0,102,102,actor,4,1.433056,0.046,True,1,False,0.9915161,4
0,103,103,actor,5,1.116281,0.056,True,1,False,0.9943848,4
0,104,104,actor,6,1.039945,0.069,True,1,True,0.5266113,4
0,105,105,actor,7,1.341497,0.078,True,1,False,0.9940796,4
0,106,106,actor,8,1.068324,0.093,True,1,False,0.9941406,4
0,107,107,actor,9,1.2532,0.103,True,1,False,0.9938049,4
0,108,108,topic,1,1.187251,0.011,True,1,False,0.9939575,4
0,109,109,topic,2,1.290316,0.022,True,1,False,0.9941101,4
0,110,110,topic,3,1.044964,0.034,True,1,False,0.9993286,4
0,111,111,topic,4,1.496448,0.045,True,1,False,0.9942017,4
0,112,112,topic,5,1.456668,0.057,True,1,False,0.9944153,4
0,113,113,topic,6,1.237485,0.067,True,1,True,0.4769287,4
0,114,114,topic,7,1.108809,0.079,True,1,False,0.9940186,4
0,115,115,topic,8,1.211875,0.087,True,1,False,0.993927,4
0,116,116,topic,9,1.36893,0.102,True,1,False,0.9942322,4
0,117,117,youth,1,1.133965,0.011,True,1,False,0.993988,4
0,118,118,youth,2,1.460036,0.023,True,1,False,0.9942322,4
0,119,119,youth,3,1.463859,0.033,True,1,False,0.9942627,4
0,120,120,youth,4,1.326486,0.044,True,1,False,0.999115,4
0,121,121,youth,5,1.358129,0.056,True,1,False,0.993927,4
0,122,122,youth,6,1.166766,0.066,True,1,True,0.4705811,4
0,123,123,youth,7,1.342906,0.078,True,1,False,0.993988,4
0,124,124,youth,8,1.249136,0.089,True,1,False,0.993866,4
0,125,125,youth,9,1.003784,0.1,True,1,False,0.9943542,4
0,126,126,works,1,1.05286,0.011,True,1,False,0.9941711,4
0,127,127,works,2,1.086154,0.023,True,1,False,0.9945068,4
0,128,128,works,3,1.314632,0.033,True,1,False,0.9942017,4
0,129,129,works,4,1.166872,0.045,True,1,False,0.9941101,4
0,130,130,works,5,1.44934,0.055,True,1,False,0.9937744,4
0,131,131,works,6,1.050755,0.067,True,1,False,0.9937134,4
0,132,132,works,7,1.279234,0.079,True,1,False,0.9940796,4
0,133,133,works,8,1.310876,0.086,True,1,True,0.559906,4
0,134,134,works,9,1.469583,0.099,True,1,False,0.9946594,4
0,135,135,tooth,1,1.347993,0.013,True,1,False,0.9940491,4
0,136,136,tooth,2,1.461445,0.022,True,1,False,0.9880981,4
0,137,137,tooth,3,1.465268,0.033,True,1,False,0.9940796,4
