Block,TrialInBlock,Trial,PrimeNumbers,Distance,PrimingDurationConst,CountingOrder,ShowedNumber,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,6,0,2,LeftHandFirst,6,1.316117,0.098,True,1,False,0.8493347,888
0,1,1,1,2,2,RightHandFirst,3,1.36193,0.023,True,1,False,1.083851,888
0,2,2,3,2,2,RightHandFirst,5,1.39031,0.023,True,1,False,0.6257172,888
0,3,3,2,-2,2,LeftHandFirst,3,1.366351,0.022,True,1,False,1.720104,888
0,4,4,2,0,2,RightHandFirst,2,1.011447,0.022,True,1,False,0.5582809,888
0,5,5,6,0,2,RightHandFirst,6,1.478752,0.021,True,1,False,0.7031898,888
0,6,6,6,0,2,LeftHandFirst,6,1.203967,0.022,True,1,False,0.7590179,888
0,7,7,3,2,2,RightHandFirst,5,1.223611,0.022,True,1,False,0.6263962,888
0,8,8,2,-2,2,RightHandFirst,3,1.352885,0.023,True,1,False,0.5812683,888
0,9,9,3,2,2,LeftHandFirst,5,1.274937,0.022,True,1,False,0.6480751,888
0,10,10,6,-2,2,RightHandFirst,4,1.196988,0.02,True,1,False,0.8268776,888
0,11,11,7,0,2,RightHandFirst,7,1.173029,0.022,True,1,False,0.7267685,888
0,12,12,4,2,2,RightHandFirst,6,1.138683,0.023,True,1,False,0.5919876,888
0,13,13,4,-2,2,LeftHandFirst,2,1.034565,0.023,True,1,False,0.637001,888
0,14,14,3,0,2,LeftHandFirst,3,1.414665,0.023,True,1,False,0.8155441,888
0,15,15,9,-2,2,LeftHandFirst,7,1.237473,0.023,True,1,False,0.8826599,888
0,16,16,7,-2,2,RightHandFirst,5,1.267504,0.021,True,1,False,0.6036758,888
0,17,17,2,0,2,RightHandFirst,2,1.233158,0.023,True,1,False,0.5909729,888
0,18,18,3,0,2,RightHandFirst,3,1.183029,0.023,True,1,False,0.625206,888
0,19,19,9,-2,2,RightHandFirst,7,1.453499,0.02,True,1,False,0.9497452,888
0,20,20,4,0,2,RightHandFirst,4,1.384286,0.021,True,1,False,0.883255,888
0,21,21,8,-2,2,RightHandFirst,6,1.484089,0.023,True,1,False,0.659729,888
0,22,22,3,-2,2,RightHandFirst,1,1.43231,0.022,True,1,False,0.5065689,888
0,23,23,8,2,2,LeftHandFirst,7,1.033764,0.024,True,1,False,0.8602295,888
0,24,24,9,-2,2,RightHandFirst,7,1.17882,0.022,True,1,False,1.027084,888
0,25,25,1,2,2,LeftHandFirst,3,1.262841,0.022,True,1,False,0.8378448,888
0,26,26,1,2,2,LeftHandFirst,3,1.113469,0.02,True,1,False,1.005455,888
0,27,27,5,0,2,RightHandFirst,5,1.464097,0.024,True,1,False,0.6141815,888
0,28,28,8,2,2,RightHandFirst,7,1.135323,0.022,True,1,False,1.0383,888
0,29,29,9,-2,2,LeftHandFirst,7,1.442349,0.023,True,1,False,1.061066,888
0,30,30,7,0,2,LeftHandFirst,7,1.345316,0.022,True,1,False,0.770874,888
0,31,31,1,0,2,LeftHandFirst,1,1.195945,0.022,True,1,False,0.6255646,888
0,32,32,3,2,2,RightHandFirst,5,1.145816,0.02,True,1,False,0.5370789,888
0,33,33,7,0,2,RightHandFirst,7,1.085301,0.022,True,1,False,0.7253265,888
0,34,34,6,-2,2,RightHandFirst,4,1.035173,0.022,True,1,False,0.5908508,888
0,35,35,6,0,2,LeftHandFirst,6,1.458875,0.022,True,1,False,0.7139282,888
