Block,TrialInBlock,Trial,PrimeNumbers,Distance,PrimingDurationConst,CountingOrder,ShowedNumber,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,4,2,4,LeftHandFirst,6,1.251514,0.183,True,1,False,15.131,2
0,1,1,4,2,4,RightHandFirst,6,1.488835,0.09,True,1,False,1.461479,2
0,2,2,3,0,4,RightHandFirst,3,1.175882,0.091,True,1,False,1.688534,2
0,3,3,6,2,4,LeftHandFirst,8,1.167744,0.092,True,1,False,1.555382,2
0,4,4,7,0,4,LeftHandFirst,7,1.410432,0.089,True,1,False,1.462471,2
0,5,5,7,-2,4,RightHandFirst,5,1.04349,0.046,True,1,False,1.216896,2
0,6,6,7,0,4,LeftHandFirst,7,1.484665,0.041,True,1,False,1.373352,2
0,7,7,3,0,4,LeftHandFirst,3,1.243135,0.093,True,1,False,1.082474,2
0,8,8,6,-2,4,RightHandFirst,4,1.351674,0.09,True,1,False,1.21711,2
0,9,9,4,-2,4,RightHandFirst,2,1.083975,0.089,True,1,False,1.25988,2
0,10,10,3,0,4,RightHandFirst,3,1.192514,0.089,True,1,False,1.174133,2
0,11,11,7,0,4,LeftHandFirst,7,1.480455,0.09,True,1,False,1.485153,2
0,12,12,4,2,4,RightHandFirst,6,1.346905,0.089,True,1,False,1.397232,2
0,13,13,4,0,4,LeftHandFirst,4,1.007783,0.045,True,1,False,1.858261,2
0,14,14,6,2,4,RightHandFirst,8,1.445656,0.088,True,1,False,1.210785,2
0,15,15,7,2,4,LeftHandFirst,9,1.493159,0.09,True,1,False,0.9311295,2
0,16,16,3,-2,4,LeftHandFirst,1,1.394475,0.093,True,1,False,0.7254944,2
0,17,17,6,-2,4,LeftHandFirst,4,1.058655,0.09,True,1,False,0.9288788,2
0,18,18,4,-2,4,LeftHandFirst,2,1.130637,0.089,True,1,False,0.914856,2
0,19,19,4,2,4,RightHandFirst,6,1.240827,0.094,True,1,False,0.9483032,2
0,20,20,6,2,4,LeftHandFirst,8,1.197784,0.088,True,1,False,1.179214,2
0,21,21,3,-2,4,RightHandFirst,1,1.083318,0.094,True,1,False,1.134293,2
0,22,22,7,2,4,RightHandFirst,9,1.040275,0.09,True,1,False,1.180359,2
0,23,23,3,-2,4,LeftHandFirst,1,1.497232,0.09,True,1,False,0.7924042,2
0,24,24,7,-2,4,RightHandFirst,5,1.328776,0.09,True,1,False,0.7737579,2
0,25,25,6,-2,4,LeftHandFirst,4,1.052341,0.084,True,1,False,0.8733215,2
0,26,26,4,0,4,RightHandFirst,4,1.429139,0.041,True,1,False,0.9036255,2
0,27,27,3,0,4,LeftHandFirst,3,1.386096,0.043,True,1,False,0.7703552,2
0,28,28,4,2,4,RightHandFirst,6,1.273281,0.044,True,1,False,1.043304,2
0,29,29,6,2,4,LeftHandFirst,8,1.230237,0.046,True,1,False,1.705902,2
0,30,30,6,2,4,RightHandFirst,8,1.445105,0.046,True,1,False,1.199997,2
0,31,31,3,2,4,RightHandFirst,5,1.259216,0.046,True,1,False,0.8208313,2
0,32,32,3,-2,4,LeftHandFirst,1,1.331199,0.044,True,1,False,0.6529541,2
0,33,33,7,0,4,RightHandFirst,7,1.110404,0.042,True,1,False,1.123917,2
0,34,34,6,2,4,RightHandFirst,8,1.372176,0.04,True,1,False,1.03685,2
0,35,35,3,2,4,RightHandFirst,5,1.20372,0.044,True,1,False,0.8512268,2
0,36,36,7,2,4,RightHandFirst,9,1.357513,0.045,True,1,False,0.9889221,2
0,37,37,7,-2,4,RightHandFirst,5,1.412062,0.044,True,1,False,0.6635437,2
0,38,38,3,2,4,LeftHandFirst,5,1.245257,0.043,True,1,False,0.7631531,2
0,39,39,3,2,4,LeftHandFirst,5,1.122055,0.042,True,1,False,0.7502441,2
0,40,40,3,0,4,LeftHandFirst,3,1.167868,0.046,True,1,False,0.6393738,2
0,41,41,3,2,4,LeftHandFirst,5,1.018497,0.04,True,1,False,0.9185181,2
0,42,42,7,-2,4,LeftHandFirst,5,1.20011,0.048,True,1,False,0.7634735,2
0,43,43,3,0,4,LeftHandFirst,3,1.299913,0.042,True,1,False,0.7064056,2
0,44,44,3,0,4,RightHandFirst,3,1.17671,0.045,True,1,False,1.04306,2
0,45,45,4,2,4,RightHandFirst,6,1.079678,0.047,True,1,False,0.9780273,2
0,46,46,6,-2,4,LeftHandFirst,4,1.23347,0.044,True,1,False,1.052521,2
0,47,47,4,-2,4,LeftHandFirst,2,1.092835,0.047,True,1,False,0.8766785,2
0,48,48,3,0,4,LeftHandFirst,3,1.192638,0.041,True,1,False,1.110626,2
0,49,49,6,-2,4,RightHandFirst,4,1.149595,0.043,True,1,False,0.7086792,2
0,50,50,4,-2,4,LeftHandFirst,2,1.359028,0.04,True,1,False,0.8212891,2
0,51,51,6,0,4,RightHandFirst,6,1.164403,0.045,True,1,False,1.046326,2
0,52,52,4,0,4,RightHandFirst,4,1.246772,0.043,True,1,False,0.8482361,2
0,53,53,7,0,4,LeftHandFirst,7,1.498158,0.049,True,1,False,1.312653,2
0,54,54,7,2,4,RightHandFirst,9,1.38204,0.05,True,1,False,1.100708,2
0,55,55,3,0,4,LeftHandFirst,3,1.446977,0.043,True,1,False,0.9920654,2
0,56,56,4,2,4,RightHandFirst,6,1.376113,0.088,True,1,False,0.8720703,2
0,57,57,4,0,4,RightHandFirst,4,1.110065,0.089,True,1,False,1.128662,2
0,58,58,6,0,4,LeftHandFirst,6,1.262207,0.14,True,1,False,1.13205,2
0,59,59,7,2,4,LeftHandFirst,9,1.006546,0.068,True,1,False,0.8857117,2
0,60,60,6,2,4,RightHandFirst,8,1.301533,0.076,True,1,False,1.202576,2
0,61,61,6,0,4,LeftHandFirst,6,1.436242,0.091,True,1,False,0.8045959,2
0,62,62,7,0,4,LeftHandFirst,7,1.252004,0.089,True,1,False,1.163544,2
0,63,63,3,2,4,RightHandFirst,5,1.332723,0.071,True,1,False,1.145355,2
0,64,64,4,0,4,LeftHandFirst,4,1.146834,0.211,True,1,False,1.027222,2
0,65,65,6,-2,4,LeftHandFirst,4,1.006198,0.082,True,1,False,1.611206,2
0,66,66,4,-2,4,LeftHandFirst,2,1.433684,0.074,True,1,False,1.047333,2
0,67,67,6,2,4,RightHandFirst,8,1.4708,0.168,True,1,False,1.053009,2
0,68,68,3,-2,4,RightHandFirst,1,1.105508,0.07,True,1,False,0.5952148,2
0,69,69,4,2,4,RightHandFirst,6,1.456137,0.14,True,1,False,0.9182434,2
0,70,70,6,0,4,RightHandFirst,6,1.021073,0.084,True,1,False,0.6177063,2
0,71,71,3,2,4,LeftHandFirst,5,1.415304,0.088,True,1,False,0.7861938,2
0,72,72,6,0,4,LeftHandFirst,6,1.372261,0.099,True,1,False,0.7499695,2
0,73,73,6,2,4,RightHandFirst,8,1.313436,0.152,True,1,False,1.307465,2
0,74,74,4,2,4,LeftHandFirst,6,1.240921,0.034,True,1,False,0.8745422,2
0,75,75,3,0,4,RightHandFirst,3,1.171709,0.048,True,1,False,0.872406,2
0,76,76,7,-2,4,RightHandFirst,5,1.407312,0.046,True,1,False,0.6932983,2
0,77,77,6,-2,4,LeftHandFirst,4,1.256289,0.046,True,1,False,1.140656,2
0,78,78,7,-2,4,RightHandFirst,5,1.087833,0.044,True,1,False,0.7080994,2
0,79,79,4,-2,4,RightHandFirst,2,1.438462,0.042,True,1,False,0.8445129,2
0,80,80,6,2,4,RightHandFirst,8,1.297826,0.047,True,1,False,1.0867,2
0,81,81,7,0,4,RightHandFirst,7,1.12937,0.044,True,1,False,0.9335632,2
0,82,82,4,0,4,RightHandFirst,4,1.462565,0.045,True,1,False,0.759552,2
0,83,83,3,2,4,RightHandFirst,5,1.18613,0.046,True,1,False,0.839325,2
0,84,84,4,0,4,RightHandFirst,4,1.421733,0.044,True,1,False,1.060669,2
0,85,85,7,2,4,RightHandFirst,9,1.404859,0.042,True,1,False,1.91571,2
0,86,86,7,-2,4,LeftHandFirst,5,1.395071,0.043,True,1,False,1.294464,2
0,87,87,6,-2,4,RightHandFirst,4,1.388584,0.041,True,1,False,1.150543,2
0,88,88,3,-2,4,LeftHandFirst,1,1.469303,0.046,True,1,False,0.6661682,2
0,89,89,7,-2,4,LeftHandFirst,5,1.079493,0.045,True,1,False,0.973175,2
0,90,90,7,2,4,RightHandFirst,9,1.151475,0.042,True,1,False,1.002808,2
0,91,91,3,-2,4,RightHandFirst,1,1.359258,0.044,True,1,False,0.7506409,2
0,92,92,7,0,4,LeftHandFirst,7,1.110643,0.044,True,1,False,0.9309998,2
0,93,93,4,0,4,LeftHandFirst,4,1.264435,0.044,True,1,False,1.037628,2
0,94,94,3,0,4,RightHandFirst,3,1.400795,0.046,True,1,False,0.9619751,2
0,95,95,6,0,4,RightHandFirst,6,1.134747,0.047,True,1,False,0.9100342,2
0,96,96,7,2,4,RightHandFirst,9,1.109137,0.044,True,1,False,1.443176,2
0,97,97,4,0,4,RightHandFirst,4,1.048661,0.043,True,1,False,0.7117004,2
0,98,98,7,2,4,RightHandFirst,9,1.442892,0.047,True,1,False,0.9278259,2
0,99,99,3,2,4,RightHandFirst,5,1.356246,0.042,True,1,False,0.8248291,2
0,100,100,7,2,4,RightHandFirst,9,1.161621,0.045,True,1,False,0.803833,2
0,101,101,6,0,4,LeftHandFirst,6,1.082021,0.045,True,1,False,0.970459,2
