Block,TrialInBlock,Trial,PrimeNumbers,Distance,PrimingDurationConst,CountingOrder,ShowedNumber,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,3,0,5,RightHandFirst,3,1.185509,0.301,True,1,False,1.407661,4
0,1,1,7,-2,5,LeftHandFirst,5,1.428158,0.05,True,1,False,1.10774,4
0,2,2,6,0,5,LeftHandFirst,6,1.378029,0.055,True,1,False,1.451477,4
0,3,3,7,0,5,RightHandFirst,7,1.32625,0.053,True,1,False,1.786795,4
0,4,4,7,-2,5,RightHandFirst,5,1.43644,0.054,True,1,False,1.178776,4
0,5,5,7,2,5,RightHandFirst,9,1.358492,0.051,True,1,False,1.752934,4
0,6,6,6,0,5,RightHandFirst,6,1.468682,0.047,True,1,False,1.386307,4
0,7,7,4,-2,5,LeftHandFirst,2,1.335092,0.064,True,1,False,1.173561,4
0,8,8,3,0,5,LeftHandFirst,3,1.366774,0.052,True,1,False,1.15086,4
0,9,9,4,0,5,LeftHandFirst,4,1.234836,0.053,True,1,False,1.847107,4
0,10,10,7,0,5,RightHandFirst,7,1.486221,0.055,True,1,False,1.67794,4
0,11,11,6,0,5,LeftHandFirst,6,1.291595,0.056,True,1,False,1.630337,4
0,12,12,4,2,5,RightHandFirst,6,1.293806,0.058,True,1,False,1.442863,4
0,13,13,4,0,5,RightHandFirst,4,1.269847,0.058,True,1,False,1.611519,4
0,14,14,3,0,5,RightHandFirst,3,1.495063,0.056,True,1,False,1.673347,4
0,15,15,7,-2,5,RightHandFirst,5,1.300438,0.057,True,1,False,1.171738,4
0,16,16,4,2,5,RightHandFirst,6,1.473314,0.06,True,1,False,1.129997,4
0,17,17,6,0,5,LeftHandFirst,6,1.297773,0.054,True,1,False,1.495644,4
0,18,18,7,-2,5,LeftHandFirst,5,1.148402,0.056,True,1,False,1.204178,4
0,19,19,3,0,5,LeftHandFirst,3,1.169696,0.054,True,1,False,1.203468,4
0,20,20,4,2,5,LeftHandFirst,6,1.288584,0.058,True,1,False,1.394295,4
0,21,21,4,-2,5,LeftHandFirst,2,1.167032,0.058,True,1,False,1.194977,4
0,22,22,4,0,5,LeftHandFirst,4,1.106517,0.062,True,1,False,1.340782,4
0,23,23,6,0,5,RightHandFirst,6,1.458796,0.057,True,1,False,1.335815,4
0,24,24,3,-2,5,RightHandFirst,1,1.03243,0.06,True,1,False,1.006805,4
0,25,25,7,-2,5,RightHandFirst,5,1.473565,0.06,True,1,False,0.9889832,4
0,26,26,3,0,5,LeftHandFirst,3,1.46704,0.054,True,1,False,1.080574,4
0,27,27,7,-2,5,LeftHandFirst,5,1.014504,0.057,True,1,False,1.035164,4
0,28,28,6,-2,5,LeftHandFirst,4,1.455639,0.055,True,1,False,1.337959,4
0,29,29,7,2,5,LeftHandFirst,9,1.306268,0.055,True,1,False,2.311821,4
0,30,30,4,-2,5,LeftHandFirst,2,1.261574,0.055,True,1,False,1.116943,4
0,31,31,6,0,5,RightHandFirst,6,1.141673,0.055,True,1,False,1.21254,4
0,32,32,4,0,5,LeftHandFirst,4,1.081158,0.056,True,1,False,1.490982,4
0,33,33,3,-2,5,RightHandFirst,1,1.308025,0.055,True,1,False,0.8617554,4
0,34,34,3,-2,5,LeftHandFirst,1,1.22134,0.059,True,1,False,0.7102051,4
0,35,35,7,0,5,LeftHandFirst,7,1.190296,0.055,True,1,False,1.731613,4
0,36,36,7,2,5,LeftHandFirst,9,1.192506,0.053,True,1,False,1.972137,4
0,37,37,6,2,5,LeftHandFirst,8,1.318478,0.056,True,1,False,1.79039,4
0,38,38,6,0,5,LeftHandFirst,6,1.444451,0.055,True,1,False,1.245056,4
0,39,39,6,2,5,LeftHandFirst,8,1.322899,0.054,True,1,False,1.408936,4
0,40,40,3,2,5,LeftHandFirst,5,1.478343,0.029,True,1,False,1.291855,4
0,41,41,4,2,5,RightHandFirst,6,1.301151,0.128,True,1,False,1.301651,4
0,42,42,7,2,5,LeftHandFirst,9,1.0438,0.053,True,1,False,1.750656,4
0,43,43,3,-2,5,LeftHandFirst,1,1.073831,0.055,True,1,False,0.8439941,4
0,44,44,7,2,5,LeftHandFirst,9,1.363384,0.057,True,1,False,1.308319,4
0,45,45,4,-2,5,LeftHandFirst,2,1.062431,0.058,True,1,False,1.126602,4
0,46,46,7,-2,5,RightHandFirst,5,1.334551,0.057,True,1,False,0.869278,4
0,47,47,6,2,5,RightHandFirst,8,1.204263,0.054,True,1,False,1.721008,4
0,48,48,3,-2,5,RightHandFirst,1,1.027071,0.056,True,1,False,0.822113,4
0,49,49,4,0,5,RightHandFirst,4,1.442037,0.056,True,1,False,1.465576,4
0,50,50,3,-2,5,LeftHandFirst,1,1.264845,0.055,True,1,False,0.7751465,4
0,51,51,4,2,5,RightHandFirst,6,1.205981,0.055,True,1,False,1.320465,4
0,52,52,7,0,5,LeftHandFirst,7,1.335255,0.054,True,1,False,1.382874,4
0,53,53,3,-2,5,LeftHandFirst,1,1.131894,0.055,True,1,False,0.7444,4
0,54,54,6,-2,5,RightHandFirst,4,1.323855,0.053,True,1,False,1.441345,4
0,55,55,6,2,5,LeftHandFirst,8,1.315678,0.057,True,1,False,1.613678,4
0,56,56,4,-2,5,RightHandFirst,2,1.399699,0.056,True,1,False,1.488602,4
0,57,57,4,2,5,LeftHandFirst,6,1.043104,0.055,True,1,False,1.341797,4
0,58,58,6,-2,5,RightHandFirst,4,1.423204,0.055,True,1,False,1.236877,4
0,59,59,7,2,5,RightHandFirst,9,1.12225,0.031,True,1,False,1.952682,4
0,60,60,6,-2,5,RightHandFirst,4,1.291825,0.053,True,1,False,1.226028,4
0,61,61,4,-2,5,RightHandFirst,2,1.323507,0.034,True,1,False,1.247711,4
0,62,62,7,2,5,LeftHandFirst,9,1.468564,0.06,True,1,False,1.474304,4
0,63,63,6,0,5,LeftHandFirst,6,1.470774,0.055,True,1,False,1.284668,4
0,64,64,4,0,5,RightHandFirst,4,1.044408,0.054,True,1,False,1.114716,4
0,65,65,6,-2,5,LeftHandFirst,4,1.039533,0.054,True,1,False,1.296875,4
0,66,66,6,-2,5,RightHandFirst,4,1.15842,0.112,True,1,False,1.045715,4
0,67,67,4,-2,5,RightHandFirst,2,1.251138,0.056,True,1,False,1.013916,4
0,68,68,3,2,5,LeftHandFirst,5,1.218443,0.057,True,1,False,0.9787292,4
0,69,69,4,-2,5,LeftHandFirst,2,1.088155,0.055,True,1,False,0.9365845,4
0,70,70,3,-2,5,LeftHandFirst,1,1.029291,0.12,True,1,False,0.7883911,4
0,71,71,4,0,5,LeftHandFirst,4,1.085452,0.055,True,1,False,1.145599,4
0,72,72,6,0,5,RightHandFirst,6,1.134567,0.057,True,1,False,1.251373,4
0,73,73,4,2,5,LeftHandFirst,6,1.432857,0.055,True,1,False,1.230988,4
0,74,74,6,-2,5,LeftHandFirst,4,1.131903,0.115,True,1,False,1.179474,4
0,75,75,4,-2,5,RightHandFirst,2,1.473795,0.055,True,1,False,0.8647766,4
0,76,76,7,0,5,LeftHandFirst,7,1.49509,0.03,True,1,False,1.303192,4
0,77,77,4,-2,5,RightHandFirst,2,1.166316,0.057,True,1,False,0.8177185,4
0,78,78,4,0,5,RightHandFirst,4,1.330456,0.053,True,1,False,1.300171,4
0,79,79,3,0,5,LeftHandFirst,3,1.43191,0.118,True,1,False,1.240021,4
0,80,80,3,2,5,LeftHandFirst,5,1.407951,0.117,True,1,False,0.9121094,4
0,81,81,6,0,5,RightHandFirst,6,1.331654,0.057,True,1,False,1.167786,4
0,82,82,6,2,5,LeftHandFirst,8,1.020313,0.031,True,1,False,1.616119,4
0,83,83,4,2,5,RightHandFirst,6,1.442364,0.056,True,1,False,1.290771,4
0,84,84,3,2,5,RightHandFirst,5,1.097808,0.056,True,1,False,1.062622,4
0,85,85,3,2,5,RightHandFirst,5,1.190526,0.112,True,1,False,1.081879,4
0,86,86,3,0,5,RightHandFirst,3,1.15783,0.031,True,1,False,1.026001,4
0,87,87,6,-2,5,RightHandFirst,4,1.429951,0.055,True,1,False,1.138031,4
0,88,88,6,0,5,LeftHandFirst,6,1.395605,0.056,True,1,False,1.158417,4
0,89,89,7,2,5,RightHandFirst,9,1.122471,0.056,True,1,False,1.481628,4
0,90,90,7,0,5,RightHandFirst,7,1.44693,0.052,True,1,False,1.442169,4
0,91,91,6,2,5,LeftHandFirst,8,1.172146,0.058,True,1,False,1.548279,4
0,92,92,4,0,5,LeftHandFirst,4,1.148187,0.055,True,1,False,1.356934,4
0,93,93,7,0,5,LeftHandFirst,7,1.418656,0.124,True,1,False,1.3685,4
0,94,94,3,0,5,LeftHandFirst,3,1.089882,0.056,True,1,False,1.169281,4
0,95,95,3,2,5,LeftHandFirst,5,1.415992,0.055,True,1,False,0.9909668,4
0,96,96,3,2,5,LeftHandFirst,5,1.132471,0.057,True,1,False,0.8773193,4
0,97,97,6,-2,5,LeftHandFirst,4,1.394204,0.029,True,1,False,1.17981,4
