Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,e,1,1.258105,0.017,True,1,False,0.9495392,888
0,1,1,e,2,1.040573,0.022,True,1,False,0.9383545,888
0,2,2,e,3,1.03566,0.034,True,1,False,0.9381332,888
0,3,3,e,4,1.291959,0.046,True,1,False,0.9388657,888
0,4,4,e,5,1.449014,0.056,True,1,True,0.5039444,888
0,5,5,e,6,1.4441,0.068,True,1,True,0.2477493,888
0,6,6,e,7,1.076637,0.074,True,1,True,0.4147034,888
0,7,7,e,8,1.421792,0.09,True,1,True,0.3474884,888
0,8,8,e,9,1.347106,0.1,True,1,True,0.3369751,888
0,9,9,z,1,1.495426,0.011,True,1,False,0.9387894,888
0,10,10,z,2,1.222253,0.023,True,1,False,0.9382172,888
0,11,11,z,3,1.086532,0.033,True,1,False,0.9383392,888
0,12,12,z,4,1.358613,0.046,True,1,True,0.3029404,888
0,13,13,z,5,1.034752,0.056,True,1,False,0.9383774,888
0,14,14,z,6,1.306834,0.068,True,1,True,0.4703445,888
0,15,15,z,7,1.134555,0.078,True,1,True,0.3470688,888
0,16,16,z,8,1.47971,0.09,True,1,True,0.3250427,888
0,17,17,z,9,1.002617,0.097,True,1,True,0.4704666,888
0,18,18,n,1,1.108985,0.011,True,1,False,0.9383163,888
0,19,19,n,2,1.060468,0.022,True,1,False,0.9384842,888
0,20,20,n,3,1.234957,0.035,True,1,False,0.9382019,888
0,21,21,n,4,1.017425,0.07,True,1,False,0.9494476,888
0,22,22,n,5,1.191914,0.055,True,1,False,0.9389648,888
0,23,23,n,6,1.115577,0.066,True,1,True,0.4593277,888
0,24,24,n,7,1.096532,0.081,True,1,True,0.4034576,888
0,25,25,n,8,1.359877,0.087,True,1,True,0.4812851,888
0,26,26,n,9,1.241588,0.157,True,1,True,0.3702698,888
0,27,27,k,1,1.01532,0.011,True,1,False,0.9383774,888
0,28,28,k,2,1.315222,0.022,True,1,False,0.9380341,888
0,29,29,k,3,1.472277,0.034,True,1,False,0.9384155,888
0,30,30,k,4,1.378507,0.044,True,1,False,0.9331055,888
0,31,31,k,5,1.41015,0.057,True,1,False,0.9372253,888
0,32,32,k,6,1.039385,0.068,True,1,False,0.9365845,888
0,33,33,k,7,1.072679,0.076,True,1,True,0.3027496,888
0,34,34,k,8,1.445654,0.091,True,1,True,0.1941833,888
0,35,35,k,9,1.039984,0.105,True,1,True,0.3026276,888
0,36,36,s,1,1.412959,0.011,True,1,False,0.9382629,888
0,37,37,s,2,1.444602,0.022,True,1,False,0.9382477,888
0,38,38,s,3,1.25324,0.033,True,1,False,0.9380951,888
0,39,39,s,4,1.1333,0.074,True,1,False,0.9481812,888
0,40,40,s,5,1.361779,0.084,True,1,False,0.9343872,888
0,41,41,s,6,1.214019,0.1,True,1,False,0.9336853,888
0,42,42,s,7,1.496487,0.078,True,1,False,0.9380493,888
