Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,story,1,1.107921,0.012,True,1,False,0.993927,1
0,1,1,story,2,1.3364,0.023,True,1,False,0.9940186,1
0,2,2,story,3,1.18864,0.033,True,1,False,0.9941711,1
0,3,3,story,4,1.150511,0.045,True,1,False,0.9939575,1
0,4,4,story,5,1.432979,0.054,True,1,True,0.236084,1
0,5,5,story,6,1.027309,0.065,True,1,False,0.9941406,1
0,6,6,story,7,1.158195,0.077,True,1,True,0.2805481,1
0,7,7,story,8,1.226355,0.089,True,1,True,0.2807922,1
0,8,8,story,9,1.169102,0.099,True,1,True,0.4264526,1
0,9,9,issue,1,1.345242,0.011,True,1,False,0.9943848,1
0,10,10,issue,2,1.197482,0.022,True,1,False,0.994873,1
0,11,11,issue,3,1.159353,0.034,True,1,False,0.9944153,1
0,12,12,issue,4,1.262419,0.046,True,1,False,0.9945374,1
0,13,13,issue,5,1.337664,0.056,True,1,False,0.9942322,1
0,14,14,issue,6,1.228112,0.068,True,1,False,0.9935303,1
0,15,15,issue,7,1.385167,0.076,True,1,True,0.2138367,1
0,16,16,issue,8,1.202502,0.089,True,1,True,0.5822144,1
0,17,17,issue,9,1.127816,0.099,True,1,True,0.3362122,1
0,18,18,value,1,1.472971,0.011,True,1,False,0.9941711,1
0,19,19,value,2,1.238006,0.023,True,1,False,0.9989624,1
0,20,20,value,3,1.269649,0.033,True,1,False,0.9941711,1
0,21,21,value,4,1.344894,0.045,True,1,False,0.9893188,1
0,22,22,value,5,1.05594,0.056,True,1,True,0.258728,1
0,23,23,value,6,1.293115,0.068,True,1,True,0.303009,1
0,24,24,value,7,1.371662,0.079,True,1,True,0.2362671,1
0,25,25,value,8,1.270807,0.091,True,1,True,0.2361145,1
0,26,26,value,9,1.213555,0.102,True,1,True,0.19104,1
0,27,27,movie,1,1.363525,0.011,True,1,False,0.9938049,1
0,28,28,movie,2,1.313357,0.022,True,1,False,0.9943237,1
0,29,29,movie,3,1.247408,0.033,True,1,False,0.9942627,1
0,30,30,movie,4,1.404463,0.046,True,1,False,0.993988,1
0,31,31,movie,5,1.310693,0.052,True,1,False,0.9934387,1
0,32,32,movie,6,1.342336,0.066,True,1,True,0.2471313,1
0,33,33,movie,7,1.241481,0.079,True,1,True,0.1801453,1
0,34,34,movie,8,1.391451,0.09,True,1,True,0.1799622,1
0,35,35,movie,9,1.029383,0.105,True,1,True,0.2023621,1
0,36,36,river,1,1.250777,0.011,True,1,False,0.9942322,1
0,37,37,river,2,1.31024,0.022,True,1,False,0.9941406,1
0,38,38,river,3,1.24429,0.033,True,1,False,0.9938965,1
0,39,39,river,4,1.140133,0.044,True,1,False,0.9892883,1
0,40,40,river,5,1.325009,0.055,True,1,False,0.9937439,1
0,41,41,river,6,1.036054,0.067,True,1,True,0.2133179,1
0,42,42,river,7,1.078045,0.073,True,1,True,0.1688538,1
0,43,43,river,8,1.038225,0.09,True,1,True,0.1686096,1
0,44,44,river,9,1.482624,0.1,True,1,True,0.2809448,1
