Block,TrialInBlock,Trial,PrimeNumbers,Distance,PrimingDurationConst,CountingOrder,ShowedNumber,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,0,0,3,-2,3,LeftHandFirst,1,1.165654,0.154,True,1,False,0.1646156,3
0,1,1,3,-2,3,LeftHandFirst,1,1.376699,0.036,True,1,False,0.2773895,3
0,2,2,4,2,3,LeftHandFirst,6,1.086094,0.035,True,1,False,1.133045,3
0,3,3,7,0,3,RightHandFirst,7,1.358214,0.034,True,1,False,1.633823,3
0,4,4,6,0,3,RightHandFirst,6,1.055609,0.066,True,1,False,1.397093,3
0,5,5,6,0,3,LeftHandFirst,6,1.326078,0.07,True,1,False,1.175806,3
0,6,6,3,-2,3,RightHandFirst,1,1.052945,0.066,True,1,False,1.149361,3
0,7,7,7,2,3,RightHandFirst,9,1.02025,0.064,True,1,False,2.339336,3
0,8,8,7,2,3,LeftHandFirst,9,1.308192,0.067,True,1,False,1.799618,3
0,9,9,3,0,3,RightHandFirst,3,1.434164,0.061,True,1,False,1.484234,3
0,10,10,3,2,3,RightHandFirst,5,1.213369,0.064,True,1,False,7.117172,3
0,11,11,7,-2,3,LeftHandFirst,5,1.287601,0.066,True,1,False,1.350246,3
0,12,12,6,-2,3,RightHandFirst,4,1.00243,0.066,True,1,False,1.796005,3
0,13,13,6,0,3,RightHandFirst,6,1.488858,0.068,True,1,False,1.620399,3
0,14,14,4,-2,3,LeftHandFirst,2,1.294233,0.064,True,1,False,1.239044,3
0,15,15,3,2,3,LeftHandFirst,5,1.357479,0.065,True,1,False,1.191231,3
0,16,16,6,0,3,LeftHandFirst,6,1.040743,0.076,True,1,False,1.192902,3
0,17,17,3,2,3,LeftHandFirst,5,1.285043,0.066,True,1,False,0.9496307,3
0,18,18,7,-2,3,LeftHandFirst,5,1.029343,0.067,True,1,False,0.8244858,3
0,19,19,6,2,3,RightHandFirst,8,1.318896,0.071,True,1,False,1.88636,3
0,20,20,4,-2,3,LeftHandFirst,2,1.417048,0.064,True,1,False,1.19149,3
0,21,21,7,2,3,LeftHandFirst,9,1.197905,0.069,True,1,False,1.31028,3
0,22,22,3,-2,3,LeftHandFirst,1,1.342961,0.066,True,1,False,1.035225,3
0,23,23,7,2,3,LeftHandFirst,9,1.418246,0.067,True,1,False,1.172012,3
0,24,24,7,2,3,RightHandFirst,9,1.258487,0.065,True,1,False,1.888145,3
0,25,25,6,-2,3,LeftHandFirst,4,1.438449,0.067,True,1,False,1.709808,3
0,26,26,3,0,3,LeftHandFirst,3,1.325634,0.066,True,1,False,1.2397,3
0,27,27,7,2,3,RightHandFirst,9,1.068283,0.067,True,1,False,1.259491,3
0,28,28,6,-2,3,RightHandFirst,4,1.366572,0.067,True,1,False,1.016724,3
0,29,29,6,0,3,LeftHandFirst,6,1.441857,0.068,True,1,False,1.284897,3
0,30,30,3,-2,3,LeftHandFirst,1,1.292485,0.066,True,1,False,0.855484,3
0,31,31,3,0,3,LeftHandFirst,3,1.162198,0.072,True,1,False,1.156281,3
0,32,32,3,-2,3,RightHandFirst,1,1.199275,0.068,True,1,False,0.7459412,3
0,33,33,7,0,3,RightHandFirst,7,1.363415,0.067,True,1,False,1.267609,3
0,34,34,4,2,3,RightHandFirst,6,1.241864,0.066,True,1,False,0.8649445,3
0,35,35,4,0,3,RightHandFirst,4,1.334582,0.067,True,1,False,1.065109,3
0,36,36,4,0,3,LeftHandFirst,4,1.186861,0.068,True,1,False,1.10228,3
0,37,37,7,0,3,RightHandFirst,7,1.446943,0.067,True,1,False,1.32605,3
0,38,38,6,2,3,LeftHandFirst,8,1.074566,0.068,True,1,False,1.317657,3
0,39,39,7,-2,3,RightHandFirst,5,1.329253,0.068,True,1,False,0.8603058,3
0,40,40,4,-2,3,RightHandFirst,2,1.117156,0.066,True,1,False,0.9282227,3
0,41,41,3,2,3,LeftHandFirst,5,1.014689,0.067,True,1,False,0.7687225,3
0,42,42,7,0,3,LeftHandFirst,7,1.250252,0.067,True,1,False,1.250473,3
0,43,43,7,0,3,LeftHandFirst,7,1.215906,0.07,True,1,False,0.9688873,3
0,44,44,3,2,3,RightHandFirst,5,1.265021,0.064,True,1,False,0.7903595,3
0,45,45,4,2,3,RightHandFirst,6,1.080744,0.067,True,1,False,1.041199,3
0,46,46,6,2,3,LeftHandFirst,8,1.173462,0.069,True,1,False,1.174362,3
0,47,47,6,-2,3,LeftHandFirst,4,1.389941,0.067,True,1,False,1.530136,3
0,48,48,4,2,3,LeftHandFirst,6,1.348549,0.067,True,1,False,1.102966,3
0,49,49,6,2,3,RightHandFirst,8,1.119019,0.067,True,1,False,1.085526,3
0,50,50,6,0,3,RightHandFirst,6,1.265726,0.07,True,1,False,0.8825226,3
0,51,51,7,0,3,LeftHandFirst,7,1.135439,0.067,True,1,False,0.8612823,3
0,52,52,6,0,3,LeftHandFirst,6,1.494764,0.065,True,1,False,0.9929504,3
0,53,53,6,2,3,RightHandFirst,8,1.221631,0.069,True,1,False,1.184433,3
0,54,54,4,0,3,LeftHandFirst,4,1.394507,0.068,True,1,False,1.169662,3
0,55,55,3,-2,3,RightHandFirst,1,1.137156,0.066,True,1,False,0.6819,3
0,56,56,4,0,3,RightHandFirst,4,1.329117,0.068,True,1,False,1.034058,3
0,57,57,4,0,3,LeftHandFirst,4,1.224999,0.065,True,1,False,1.316681,3
0,58,58,7,-2,3,LeftHandFirst,5,1.228861,0.068,True,1,False,1.057907,3
0,59,59,6,-2,3,LeftHandFirst,4,1.168345,0.067,True,1,False,1.105118,3
0,60,60,7,-2,3,RightHandFirst,5,1.18964,0.059,True,1,False,0.8135986,3
0,61,61,7,-2,3,RightHandFirst,5,1.174378,0.034,True,1,False,0.7795563,3
0,62,62,4,2,3,LeftHandFirst,6,1.143334,0.032,True,1,False,1.1483,3
0,63,63,6,2,3,LeftHandFirst,8,1.290042,0.034,True,1,False,1.25061,3
0,64,64,7,0,3,LeftHandFirst,7,1.239913,0.031,True,1,False,1.023056,3
0,65,65,4,-2,3,RightHandFirst,2,1.027816,0.037,True,1,False,0.7770996,3
0,66,66,7,0,3,RightHandFirst,7,1.165787,0.03,True,1,False,1.102173,3
0,67,67,3,0,3,LeftHandFirst,3,1.133092,0.031,True,1,False,0.8901367,3
0,68,68,4,2,3,RightHandFirst,6,1.297233,0.033,True,1,False,0.9909973,3
0,69,69,6,0,3,LeftHandFirst,6,1.44394,0.034,True,1,False,1.449951,3
0,70,70,3,-2,3,RightHandFirst,1,1.169156,0.03,True,1,False,0.07467651,3
0,71,71,7,-2,3,LeftHandFirst,5,1.326211,0.032,True,1,False,0.7884521,3
0,72,72,6,0,3,RightHandFirst,6,1.044342,0.036,True,1,False,0.8783264,3
0,73,73,4,0,3,LeftHandFirst,4,1.154493,0.032,True,1,False,2.00766,3
0,74,74,4,2,3,RightHandFirst,6,1.362275,0.029,True,1,False,1.014771,3
0,75,75,7,2,3,LeftHandFirst,9,1.38357,0.032,True,1,False,1.885193,3
0,76,76,6,-2,3,RightHandFirst,4,1.063532,0.031,True,1,False,0.8331604,3
0,77,77,6,-2,3,RightHandFirst,4,1.07609,0.034,True,1,False,1.808472,3
0,78,78,3,-2,3,RightHandFirst,1,1.383116,0.036,True,1,False,0.8329163,3
0,79,79,4,2,3,LeftHandFirst,6,1.073426,0.033,True,1,False,1.125946,3
0,80,80,6,2,3,LeftHandFirst,8,1.166144,0.035,True,1,False,1.245636,3
0,81,81,3,-2,3,RightHandFirst,1,1.382623,0.037,True,1,False,0.6550598,3
0,82,82,6,2,3,RightHandFirst,8,1.046764,0.023,True,1,False,1.664734,3
0,83,83,7,0,3,RightHandFirst,7,1.104615,0.034,True,1,False,1.302094,3
0,84,84,3,2,3,RightHandFirst,5,1.223502,0.034,True,1,False,0.7611389,3
0,85,85,4,2,3,RightHandFirst,6,1.110648,0.032,True,1,False,0.9490662,3
0,86,86,6,-2,3,RightHandFirst,4,1.372381,0.015,True,1,False,0.09683228,3
0,87,87,4,-2,3,RightHandFirst,2,1.332601,0.015,True,1,False,1.232605,3
0,88,88,3,-2,3,RightHandFirst,1,1.461875,0.07,True,1,False,0.6195679,3
0,89,89,7,0,3,LeftHandFirst,7,1.180006,0.105,True,1,False,0.995636,3
0,90,90,7,0,3,RightHandFirst,7,1.467908,0.075,True,1,False,1.104614,3
0,91,91,6,-2,3,LeftHandFirst,4,1.166954,0.065,True,1,False,12.64584,3
0,92,92,6,2,3,LeftHandFirst,8,1.410801,0.065,True,1,False,0.7582397,3
0,93,93,3,2,3,RightHandFirst,5,1.280513,0.067,True,1,False,0.4847107,3
0,94,94,7,-2,3,LeftHandFirst,5,1.390664,0.067,True,1,False,32.81842,3
0,95,95,3,0,3,RightHandFirst,3,1.342399,0.069,True,1,False,83.36179,3
0,96,96,6,-2,3,RightHandFirst,4,1.451506,0.101,True,1,False,29.91812,3
0,97,97,4,0,3,LeftHandFirst,4,1.193846,0.066,True,1,False,1.22998,3
0,98,98,7,2,3,RightHandFirst,9,1.284913,0.068,True,1,False,1.197998,3
0,99,99,3,-2,3,LeftHandFirst,1,1.01178,0.098,True,1,False,0.7270508,3
0,100,100,3,-2,3,RightHandFirst,1,1.329153,0.107,True,1,False,0.6433105,3
0,101,101,6,2,3,RightHandFirst,8,1.188479,0.068,True,1,False,2.171204,3
0,102,102,4,0,3,RightHandFirst,4,1.47642,0.065,True,1,False,1.148621,3
0,103,103,7,-2,3,LeftHandFirst,5,1.093657,0.067,True,1,False,0.8094482,3
0,104,104,7,0,3,LeftHandFirst,7,1.339607,0.067,True,1,False,1.434937,3
0,105,105,6,0,3,RightHandFirst,6,1.287828,0.063,True,1,False,0.9873657,3
0,106,106,3,0,3,LeftHandFirst,3,1.309123,0.105,True,1,False,1.048523,3
0,107,107,4,2,3,LeftHandFirst,6,1.205005,0.071,True,1,False,0.9898682,3
0,108,108,3,2,3,LeftHandFirst,5,1.17231,0.061,True,1,False,1.24585,3
0,109,109,3,2,3,LeftHandFirst,5,1.024589,0.068,True,1,False,0.6950684,3
0,110,110,7,-2,3,LeftHandFirst,5,1.385566,0.068,True,1,False,0.6811523,3
0,111,111,4,-2,3,RightHandFirst,2,1.201288,0.065,True,1,False,0.7577515,3
0,112,112,3,0,3,RightHandFirst,3,1.463021,0.061,True,1,False,0.9838867,3
0,113,113,6,2,3,RightHandFirst,8,1.412893,0.06,True,1,False,1.287231,3
0,114,114,4,-2,3,LeftHandFirst,2,1.084119,0.112,True,1,False,0.6554565,3
0,115,115,4,0,3,RightHandFirst,4,1.080895,0.063,True,1,False,0.7268677,3
0,116,116,3,0,3,LeftHandFirst,3,1.495861,0.059,True,1,False,0.8386841,3
0,117,117,4,0,3,RightHandFirst,4,1.212341,0.105,True,1,False,1.428284,3
0,118,118,7,0,3,RightHandFirst,7,1.45499,0.022,True,1,False,1.062195,3
0,119,119,4,0,3,RightHandFirst,4,1.486672,0.032,True,1,False,0.9371948,3
0,120,120,6,2,3,LeftHandFirst,8,1.023749,0.031,True,1,False,1.278015,3
0,121,121,7,-2,3,RightHandFirst,5,1.268048,0.033,True,1,False,0.9370728,3
0,122,122,6,0,3,RightHandFirst,6,1.040169,0.016,True,1,False,0.9154663,3
0,123,123,3,2,3,RightHandFirst,5,1.329722,0.026,True,1,False,0.8710327,3
0,124,124,3,2,3,RightHandFirst,5,1.42244,0.033,True,1,False,0.8133545,3
0,125,125,4,-2,3,LeftHandFirst,2,1.292152,0.031,True,1,False,0.7001343,3
0,126,126,4,-2,3,RightHandFirst,2,1.358701,0.033,True,1,False,1.131042,3
0,127,127,3,2,3,RightHandFirst,5,1.352175,0.033,True,1,False,0.8057251,3
0,128,128,6,2,3,RightHandFirst,8,1.3473,0.031,True,1,False,1.315674,3
0,129,129,6,0,3,RightHandFirst,6,1.366944,0.067,True,1,False,0.8347778,3
0,130,130,4,0,3,RightHandFirst,4,1.459662,0.033,True,1,False,1.505188,3
0,131,131,3,-2,3,RightHandFirst,1,1.141275,0.035,True,1,False,0.9022217,3
0,132,132,3,2,3,RightHandFirst,5,1.403008,0.072,True,1,False,0.8419189,3
0,133,133,4,2,3,RightHandFirst,6,1.452123,0.077,True,1,False,0.8679199,3
0,134,134,7,0,3,RightHandFirst,7,1.114613,0.03,True,1,False,1.026184,3
0,135,135,6,-2,3,RightHandFirst,4,1.012146,0.034,True,1,False,1.941406,3
0,136,136,6,2,3,LeftHandFirst,8,1.432546,0.031,True,1,False,1.795959,3
0,137,137,4,-2,3,LeftHandFirst,2,1.096726,0.034,True,1,False,0.6780396,3
0,138,138,3,-2,3,RightHandFirst,1,1.375892,0.032,True,1,False,0.7194214,3
0,139,139,7,-2,3,LeftHandFirst,5,1.49643,0.032,True,1,False,0.692688,3
0,140,140,6,0,3,RightHandFirst,6,1.18674,0.073,True,1,False,0.8032227,3
0,141,141,7,0,3,LeftHandFirst,7,1.253288,0.034,True,1,False,0.9505005,3
0,142,142,7,2,3,RightHandFirst,9,1.025409,0.021,True,1,False,1.362854,3
0,143,143,4,2,3,LeftHandFirst,6,1.464893,0.034,True,1,False,0.9691162,3
0,144,144,4,0,3,LeftHandFirst,4,1.442585,0.032,True,1,False,1.022461,3
0,145,145,7,0,3,LeftHandFirst,7,1.256657,0.035,True,1,False,1.019104,3
0,146,146,3,0,3,RightHandFirst,3,1.082767,0.034,True,1,False,1.248291,3
0,147,147,3,0,3,LeftHandFirst,3,1.245257,0.033,True,1,False,0.8128052,3
0,148,148,4,-2,3,LeftHandFirst,2,1.268202,0.019,True,1,False,0.6901245,3
0,149,149,7,2,3,LeftHandFirst,9,1.057756,0.018,True,1,False,1.719177,3
0,150,150,6,-2,3,RightHandFirst,4,1.131389,0.033,True,1,False,1.169312,3
0,151,151,7,2,3,LeftHandFirst,9,1.196287,0.036,True,1,False,1.179443,3
0,152,152,7,2,3,LeftHandFirst,9,1.412766,0.034,True,1,False,0.928833,3
0,153,153,3,2,3,RightHandFirst,5,1.015871,0.071,True,1,False,0.8460693,3
0,154,154,7,0,3,LeftHandFirst,7,1.430837,0.031,True,1,False,0.7807617,3
0,155,155,6,0,3,LeftHandFirst,6,1.316332,0.032,True,1,False,0.9401245,3
0,156,156,4,2,3,LeftHandFirst,6,1.365447,0.034,True,1,False,0.7393188,3
0,157,157,7,2,3,RightHandFirst,9,1.404175,0.033,True,1,False,1.274902,3
0,158,158,6,0,3,LeftHandFirst,6,1.423819,0.072,True,1,False,0.8370361,3
0,159,159,3,-2,3,LeftHandFirst,1,1.472934,0.065,True,1,False,0.08459473,3
0,160,160,3,2,3,RightHandFirst,5,1.307741,0.032,True,1,False,0.7224121,3
0,161,161,4,0,3,LeftHandFirst,4,1.069474,0.068,True,1,False,0.6449585,3
0,162,162,3,-2,3,LeftHandFirst,1,1.235265,0.033,True,1,False,0.7092285,3
0,163,163,4,0,3,RightHandFirst,4,1.024819,0.032,True,1,False,1.127747,3
0,164,164,3,0,3,LeftHandFirst,3,1.019944,0.034,True,1,False,0.8810425,3
0,165,165,7,0,3,LeftHandFirst,7,1.450693,0.023,True,1,False,1.026001,3
0,166,166,7,-2,3,RightHandFirst,5,1.123569,0.036,True,1,False,0.7988892,3
0,167,167,4,0,3,LeftHandFirst,4,1.494933,0.032,True,1,False,1.391418,3
0,168,168,4,0,3,RightHandFirst,4,1.040746,0.031,True,1,False,1.040283,3
0,169,169,3,0,3,RightHandFirst,3,1.079474,0.032,True,1,False,0.7958374,3
0,170,170,4,0,3,LeftHandFirst,4,1.49444,0.034,True,1,False,0.8416138,3
0,171,171,7,0,3,RightHandFirst,7,1.097545,0.072,True,1,False,1.242371,3
0,172,172,3,-2,3,LeftHandFirst,1,1.260035,0.034,True,1,False,0.6443481,3
0,173,173,4,0,3,RightHandFirst,4,1.451996,0.015,True,1,False,1.240723,3
0,174,174,7,2,3,LeftHandFirst,9,1.330445,0.07,True,1,False,1.093201,3
0,175,175,3,0,3,RightHandFirst,3,1.046924,0.016,True,1,False,0.9559937,3
0,176,176,6,2,3,RightHandFirst,8,1.031662,0.021,True,1,False,1.643188,3
0,177,177,4,-2,3,LeftHandFirst,2,1.312519,0.016,True,1,False,0.6543579,3
0,178,178,7,2,3,LeftHandFirst,9,1.020262,0.027,True,1,False,1.763977,3
0,179,179,3,0,3,RightHandFirst,3,1.355108,0.036,True,1,False,1.075073,3
0,180,180,6,-2,3,LeftHandFirst,4,1.071588,0.031,True,1,False,0.9240723,3
0,181,181,4,-2,3,RightHandFirst,2,1.138136,0.036,True,1,False,0.855957,3
0,182,182,6,2,3,RightHandFirst,8,1.025282,0.032,True,1,False,1.313416,3
0,183,183,4,2,3,RightHandFirst,6,1.046576,0.074,True,1,False,1.237305,3
0,184,184,3,0,3,RightHandFirst,3,1.013881,0.016,True,1,False,0.9568481,3
0,185,185,4,-2,3,RightHandFirst,2,1.08043,0.026,True,1,False,0.8058472,3
0,186,186,4,0,3,RightHandFirst,4,1.092988,0.068,True,1,False,0.7716675,3
0,187,187,6,0,3,RightHandFirst,6,1.007954,0.033,True,1,False,1.057922,3
0,188,188,6,2,3,LeftHandFirst,8,1.269687,0.021,True,1,False,1.287659,3
0,189,189,3,-2,3,RightHandFirst,1,1.317151,0.071,True,1,False,0.6790161,3
0,190,190,7,2,3,RightHandFirst,9,1.3837,0.031,True,1,False,1.129822,3
0,191,191,6,-2,3,LeftHandFirst,4,1.154169,0.068,True,1,False,0.9301758,3
0,192,192,6,0,3,LeftHandFirst,6,1.45411,0.068,True,1,False,1.059326,3
0,193,193,7,-2,3,RightHandFirst,5,1.224579,0.035,True,1,False,0.9884644,3
