Block,TrialInBlock,Trial,Character,FrameCount,FixCrossDuration,PrimingDuration,Completed,Attempts,Skipped,RespTime,ID
0,80,80,focus,1,1.450082,0.011,True,1,False,0.9941406,3
0,81,81,focus,2,1.274502,0.022,True,1,False,0.9943085,3
0,82,82,focus,3,1.431558,0.033,True,1,False,0.9940338,3
0,83,83,focus,4,1.196593,0.044,True,1,True,0.2698669,3
0,84,84,focus,5,1.264753,0.057,True,1,True,0.6044922,3
0,85,85,focus,6,1.385252,0.065,True,1,False,0.9941406,3
0,86,86,focus,7,1.291482,0.08,True,1,True,0.235733,3
0,87,87,focus,8,1.413631,0.09,True,1,True,0.4035034,3
0,88,88,actor,1,1.115941,0.011,True,1,False,0.993988,3
0,89,89,actor,2,1.344419,0.022,True,1,False,0.9941864,3
0,90,90,actor,3,1.376062,0.032,True,1,False,0.9943542,3
0,91,91,actor,4,1.184699,0.045,True,1,False,0.9940186,3
0,92,92,actor,5,1.06476,0.059,True,1,True,0.3254395,3
0,93,93,actor,6,1.258333,0.066,True,1,True,0.3364563,3
0,94,94,actor,7,1.157478,0.081,True,1,True,0.3588562,3
0,95,95,actor,8,1.361438,0.092,True,1,True,0.3926544,3
0,96,96,topic,1,1.107349,0.011,True,1,False,0.9938049,3
0,97,97,topic,2,1.335828,0.023,True,1,False,0.993988,3
0,98,98,topic,3,1.188068,0.034,True,1,False,0.9941254,3
0,99,99,topic,4,1.149939,0.046,True,1,False,0.9942322,3
0,100,100,topic,5,1.253005,0.057,True,1,True,0.1909027,3
0,101,101,topic,6,1.141762,0.066,True,1,True,0.2245636,3
0,102,102,topic,7,1.096548,0.08,True,1,True,0.6607208,3
0,103,103,topic,8,1.163057,0.087,True,1,False,0.9942932,3
0,104,104,youth,1,1.22252,0.011,True,1,False,0.9943085,3
0,105,105,youth,2,1.102581,0.022,True,1,False,0.9935608,3
0,106,106,youth,3,1.331059,0.034,True,1,True,0.2021637,3
0,107,107,youth,4,1.355617,0.044,True,1,True,0.269516,3
0,108,108,youth,5,1.172951,0.056,True,1,True,0.2361298,3
0,109,109,youth,6,1.045927,0.067,True,1,True,0.2360687,3
0,110,110,youth,7,1.18551,0.078,True,1,True,0.2469635,3
0,111,111,youth,8,1.014883,0.091,True,1,False,0.9942474,3
0,112,112,works,1,1.063959,0.011,True,1,False,0.9942322,3
0,113,113,works,2,1.015442,0.023,True,1,False,0.9942322,3
0,114,114,works,3,1.369333,0.033,True,1,False,0.9939117,3
0,115,115,works,4,1.498569,0.045,True,1,True,0.298172,3
0,116,116,works,5,1.005693,0.057,True,1,True,0.6150513,3
0,117,117,works,6,1.323027,0.065,True,1,True,0.1801147,3
0,118,118,works,7,1.347585,0.077,True,1,True,0.2024231,3
0,119,119,works,8,1.387925,0.088,True,1,True,0.3588867,3
0,120,120,tooth,1,1.215647,0.011,True,1,False,0.9943542,3
